filename,label,bank,category
call_001_bank1_legitimate.txt,Normal,Bank1,Legitimate
call_002_bank1_legitimate.txt,Normal,Bank1,Legitimate
call_003_bank1_intermediate.txt,Normal,Bank1,Intermediate
call_004_bank1_fraudulent.txt,Fraud,Bank1,Fraudulent
call_005_bank1_fraudulent.txt,Fraud,Bank1,Fraudulent
call_006_bank2_legitimate.txt,Normal,Bank2,Legitimate
call_007_bank2_legitimate.txt,Normal,Bank2,Legitimate
call_008_bank2_intermediate.txt,Normal,Bank2,Intermediate
call_009_bank2_fraudulent.txt,Fraud,Bank2,Fraudulent
call_010_bank2_fraudulent.txt,Fraud,Bank2,Fraudulent
call_011_bank3_legitimate.txt,Normal,Bank3,Legitimate
call_012_bank3_legitimate.txt,Normal,Bank3,Legitimate
call_013_bank3_intermediate.txt,Normal,Bank3,Intermediate
call_014_bank3_fraudulent.txt,Fraud,Bank3,Fraudulent
call_015_bank3_fraudulent.txt,Fraud,Bank3,Fraudulent
