idx,true,length,bow,singh,webrag
0,Normal,Fraud,Normal,Fraud,Normal
1,Fraud,Normal,Fraud,Fraud,Normal
2,Fraud,Normal,Fraud,Fraud,Fraud
3,Fraud,Normal,Fraud,Fraud,Fraud
4,Fraud,Fraud,Fraud,Fraud,Fraud
5,Normal,Normal,Normal,Normal,Normal
6,Normal,Normal,Normal,Normal,Normal
7,Fraud,Fraud,Fraud,Fraud,Fraud
8,Normal,Normal,Normal,Normal,Normal
9,Normal,Normal,Normal,Fraud,Fraud
10,Fraud,Fraud,Fraud,Fraud,Fraud
11,Normal,Normal,Normal,Normal,Normal
12,Fraud,Fraud,Fraud,Fraud,Fraud
13,Normal,Normal,Normal,Fraud,Normal
14,Normal,Normal,Normal,Fraud,Fraud
15,Fraud,Normal,Fraud,Fraud,Fraud
16,Fraud,Fraud,Fraud,Normal,Fraud
17,Fraud,Normal,Fraud,Fraud,Fraud
18,Normal,Normal,Normal,Normal,Normal
19,Normal,Normal,Normal,Normal,Normal
20,Normal,Normal,Normal,Normal,Normal
21,Normal,Normal,Normal,Normal,Normal
22,Normal,Normal,Normal,Fraud,Normal
23,Fraud,Normal,Fraud,Fraud,Fraud
24,Normal,Normal,Normal,Normal,Normal
25,Fraud,Fraud,Fraud,Fraud,Fraud
26,Normal,Normal,Normal,Normal,Normal
27,Fraud,Fraud,Fraud,Fraud,Fraud
28,Fraud,Normal,Fraud,Normal,Fraud
29,Fraud,Fraud,Fraud,Normal,Fraud
30,Fraud,Normal,Fraud,Fraud,Fraud
31,Normal,Normal,Normal,Normal,Normal
32,Normal,Normal,Normal,Normal,Normal
33,Fraud,Normal,Fraud,Fraud,Fraud
34,Fraud,Fraud,Fraud,Normal,Fraud
35,Normal,Normal,Normal,Normal,Normal
36,Fraud,Fraud,Fraud,Fraud,Normal
37,Fraud,Fraud,Fraud,Fraud,Fraud
38,Normal,Normal,Normal,Normal,Normal
39,Normal,Normal,Normal,Normal,Normal
40,Fraud,Fraud,Fraud,Fraud,Fraud
41,Fraud,Fraud,Fraud,Normal,Fraud
42,Fraud,Fraud,Fraud,Fraud,Fraud
43,Fraud,Normal,Fraud,Fraud,Fraud
44,Normal,Normal,Normal,Normal,Normal
45,Fraud,Fraud,Fraud,Fraud,Fraud
46,Normal,Normal,Normal,Normal,Normal
47,Fraud,Normal,Fraud,Fraud,Fraud
48,Fraud,Fraud,Fraud,Normal,Normal
49,Normal,Normal,Normal,Normal,Normal
50,Normal,Normal,Normal,Fraud,Normal
51,Fraud,Fraud,Fraud,Fraud,Fraud
52,Normal,Normal,Normal,Normal,Normal
53,Fraud,Normal,Fraud,Normal,Fraud
54,Normal,Normal,Normal,Normal,Normal
55,Fraud,Normal,Fraud,Fraud,Fraud
56,Normal,Normal,Normal,Normal,Normal
57,Fraud,Normal,Fraud,Fraud,Fraud
58,Normal,Normal,Normal,Normal,Normal
59,Fraud,Normal,Fraud,Fraud,Fraud
60,Normal,Normal,Normal,Fraud,Fraud
61,Fraud,Normal,Fraud,Fraud,Fraud
62,Normal,Normal,Normal,Normal,Normal
63,Fraud,Fraud,Fraud,Fraud,Fraud
64,Normal,Normal,Normal,Normal,Normal
65,Fraud,Normal,Fraud,Fraud,Fraud
66,Normal,Normal,Normal,Normal,Normal
67,Fraud,Normal,Fraud,Fraud,Fraud
68,Fraud,Normal,Fraud,Fraud,Normal
69,Fraud,Fraud,Fraud,Fraud,Fraud
70,Fraud,Normal,Fraud,Fraud,Fraud
71,Fraud,Normal,Fraud,Fraud,Fraud
72,Fraud,Normal,Fraud,Fraud,Fraud
73,Fraud,Fraud,Fraud,Fraud,Fraud
74,Normal,Normal,Normal,Normal,Normal
75,Normal,Normal,Normal,Fraud,Normal
76,Fraud,Fraud,Fraud,Fraud,Fraud
77,Normal,Normal,Normal,Normal,Fraud
78,Normal,Normal,Normal,Normal,Normal
79,Fraud,Fraud,Fraud,Fraud,Normal
80,Normal,Normal,Normal,Normal,Normal
81,Normal,Normal,Normal,Normal,Normal
82,Fraud,Fraud,Fraud,Fraud,Fraud
83,Fraud,Normal,Fraud,Fraud,Fraud
84,Normal,Normal,Normal,Normal,Normal
85,Normal,Normal,Normal,Fraud,Normal
86,Normal,Normal,Normal,Normal,Normal
87,Normal,Normal,Normal,Normal,Normal
88,Fraud,Fraud,Fraud,Fraud,Fraud
89,Fraud,Fraud,Fraud,Fraud,Fraud
90,Fraud,Normal,Fraud,Fraud,Fraud
91,Fraud,Normal,Fraud,Normal,Fraud
92,Fraud,Fraud,Fraud,Fraud,Fraud
93,Normal,Normal,Normal,Normal,Normal
94,Normal,Normal,Normal,Normal,Normal
95,Fraud,Normal,Fraud,Fraud,Fraud
96,Normal,Normal,Normal,Normal,Normal
97,Fraud,Fraud,Fraud,Fraud,Fraud
98,Fraud,Normal,Fraud,Fraud,Fraud
99,Normal,Normal,Normal,Normal,Normal
100,Normal,Normal,Normal,Normal,Normal
101,Normal,Normal,Normal,Normal,Normal
102,Normal,Normal,Normal,Normal,Normal
103,Normal,Normal,Normal,Normal,Normal
104,Fraud,Fraud,Fraud,Fraud,Fraud
105,Fraud,Normal,Fraud,Normal,Fraud
106,Fraud,Normal,Fraud,Fraud,Fraud
107,Normal,Normal,Normal,Fraud,Normal
108,Fraud,Fraud,Fraud,Fraud,Fraud
109,Normal,Normal,Normal,Normal,Normal
110,Fraud,Normal,Fraud,Fraud,Fraud
111,Fraud,Fraud,Fraud,Fraud,Fraud
112,Fraud,Normal,Fraud,Fraud,Fraud
113,Normal,Normal,Normal,Normal,Normal
114,Normal,Normal,Normal,Normal,Normal
115,Normal,Normal,Normal,Normal,Normal
116,Fraud,Fraud,Fraud,Fraud,Fraud
117,Fraud,Fraud,Fraud,Fraud,Fraud
118,Normal,Normal,Normal,Normal,Normal
119,Normal,Normal,Normal,Normal,Normal
120,Normal,Normal,Normal,Normal,Normal
121,Fraud,Normal,Fraud,Fraud,Fraud
122,Normal,Normal,Normal,Normal,Normal
123,Normal,Normal,Normal,Normal,Normal
124,Fraud,Normal,Fraud,Fraud,Fraud
125,Normal,Normal,Normal,Normal,Normal
126,Fraud,Normal,Fraud,Fraud,Fraud
127,Normal,Normal,Normal,Normal,Normal
128,Fraud,Normal,Fraud,Fraud,Fraud
129,Normal,Normal,Normal,Normal,Normal
130,Fraud,Fraud,Fraud,Fraud,Fraud
131,Normal,Normal,Normal,Normal,Normal
132,Normal,Normal,Normal,Normal,Normal
133,Fraud,Fraud,Fraud,Fraud,Fraud
134,Fraud,Fraud,Fraud,Fraud,Fraud
135,Fraud,Fraud,Fraud,Fraud,Fraud
136,Fraud,Normal,Fraud,Fraud,Fraud
137,Normal,Normal,Normal,Fraud,Normal
138,Fraud,Normal,Fraud,Fraud,Fraud
139,Normal,Normal,Normal,Normal,Normal
140,Normal,Normal,Normal,Fraud,Normal
141,Fraud,Fraud,Fraud,Fraud,Fraud
142,Fraud,Fraud,Fraud,Fraud,Fraud
143,Fraud,Fraud,Fraud,Fraud,Fraud
144,Normal,Normal,Normal,Normal,Normal
145,Normal,Normal,Normal,Normal,Normal
146,Normal,Normal,Normal,Normal,Normal
147,Fraud,Fraud,Fraud,Fraud,Fraud
148,Normal,Normal,Normal,Normal,Normal
149,Fraud,Normal,Fraud,Fraud,Fraud
150,Fraud,Fraud,Fraud,Fraud,Fraud
151,Fraud,Fraud,Fraud,Fraud,Fraud
152,Fraud,Normal,Fraud,Fraud,Fraud
153,Fraud,Normal,Fraud,Fraud,Fraud
154,Normal,Normal,Normal,Normal,Normal
155,Normal,Normal,Normal,Normal,Normal
156,Fraud,Normal,Fraud,Fraud,Fraud
157,Normal,Normal,Normal,Normal,Normal
158,Normal,Normal,Normal,Normal,Normal
159,Normal,Normal,Normal,Normal,Normal
160,Normal,Normal,Normal,Normal,Normal
161,Fraud,Normal,Fraud,Fraud,Fraud
162,Normal,Normal,Normal,Normal,Normal
163,Fraud,Fraud,Fraud,Fraud,Fraud
164,Fraud,Normal,Fraud,Fraud,Fraud
165,Fraud,Fraud,Fraud,Fraud,Fraud
166,Normal,Normal,Normal,Normal,Normal
167,Normal,Normal,Normal,Normal,Normal
168,Fraud,Normal,Fraud,Fraud,Fraud
169,Fraud,Normal,Fraud,Fraud,Fraud
170,Normal,Normal,Normal,Normal,Fraud
171,Normal,Normal,Normal,Normal,Normal
172,Normal,Normal,Normal,Normal,Normal
173,Normal,Normal,Normal,Fraud,Normal
174,Normal,Normal,Normal,Normal,Normal
175,Fraud,Normal,Fraud,Fraud,Fraud
176,Fraud,Normal,Fraud,Fraud,Fraud
177,Fraud,Normal,Fraud,Fraud,Normal
178,Normal,Normal,Normal,Fraud,Normal
179,Fraud,Normal,Fraud,Fraud,Fraud
180,Normal,Normal,Normal,Normal,Normal
181,Fraud,Normal,Fraud,Fraud,Fraud
182,Fraud,Fraud,Fraud,Fraud,Fraud
183,Fraud,Normal,Fraud,Fraud,Fraud
184,Normal,Normal,Normal,Normal,Normal
185,Normal,Normal,Normal,Normal,Fraud
186,Normal,Normal,Normal,Normal,Fraud
187,Fraud,Fraud,Fraud,Fraud,Fraud
188,Fraud,Normal,Fraud,Fraud,Fraud
189,Normal,Normal,Normal,Normal,Normal
190,Normal,Normal,Normal,Normal,Normal
191,Normal,Normal,Normal,Normal,Normal
192,Normal,Normal,Normal,Normal,Normal
193,Fraud,Fraud,Fraud,Fraud,Fraud
194,Fraud,Fraud,Fraud,Normal,Fraud
195,Fraud,Fraud,Fraud,Normal,Fraud
196,Fraud,Normal,Fraud,Fraud,Fraud
197,Normal,Normal,Normal,Normal,Normal
198,Normal,Normal,Normal,Normal,Normal
199,Fraud,Normal,Fraud,Fraud,Fraud
200,Fraud,Fraud,Fraud,Fraud,Fraud
201,Fraud,Normal,Fraud,Normal,Normal
202,Fraud,Fraud,Fraud,Fraud,Fraud
203,Fraud,Fraud,Fraud,Fraud,Fraud
204,Normal,Normal,Normal,Normal,Normal
205,Fraud,Normal,Fraud,Fraud,Normal
206,Fraud,Fraud,Fraud,Fraud,Fraud
207,Fraud,Fraud,Fraud,Fraud,Fraud
208,Fraud,Fraud,Fraud,Fraud,Fraud
209,Fraud,Normal,Fraud,Fraud,Fraud
210,Fraud,Fraud,Fraud,Fraud,Fraud
211,Fraud,Fraud,Fraud,Fraud,Fraud
212,Normal,Normal,Normal,Normal,Normal
213,Fraud,Fraud,Fraud,Fraud,Fraud
214,Fraud,Fraud,Fraud,Fraud,Fraud
215,Normal,Normal,Normal,Normal,Normal
216,Normal,Normal,Normal,Fraud,Normal
217,Fraud,Fraud,Fraud,Fraud,Fraud
218,Fraud,Fraud,Fraud,Fraud,Fraud
219,Normal,Normal,Normal,Normal,Normal
220,Fraud,Fraud,Fraud,Fraud,Fraud
221,Fraud,Normal,Fraud,Fraud,Fraud
222,Normal,Normal,Normal,Normal,Normal
223,Normal,Normal,Normal,Normal,Normal
224,Normal,Normal,Normal,Normal,Fraud
225,Normal,Normal,Normal,Normal,Normal
226,Fraud,Fraud,Fraud,Fraud,Fraud
227,Fraud,Fraud,Fraud,Fraud,Fraud
228,Fraud,Fraud,Fraud,Fraud,Fraud
229,Normal,Normal,Normal,Normal,Normal
230,Normal,Normal,Normal,Normal,Normal
231,Normal,Normal,Normal,Normal,Normal
232,Normal,Normal,Normal,Normal,Normal
233,Normal,Normal,Normal,Normal,Normal
234,Normal,Normal,Normal,Normal,Normal
235,Fraud,Fraud,Fraud,Fraud,Fraud
236,Normal,Normal,Normal,Normal,Normal
237,Normal,Normal,Normal,Normal,Normal
238,Normal,Normal,Normal,Normal,Normal
239,Normal,Normal,Normal,Normal,Normal
240,Fraud,Normal,Fraud,Fraud,Fraud
241,Fraud,Fraud,Fraud,Fraud,Fraud
242,Normal,Normal,Normal,Normal,Normal
243,Normal,Normal,Normal,Normal,Normal
244,Fraud,Normal,Fraud,Fraud,Normal
245,Fraud,Fraud,Fraud,Fraud,Fraud
246,Normal,Normal,Normal,Normal,Normal
247,Normal,Normal,Normal,Normal,Normal
248,Fraud,Normal,Fraud,Fraud,Fraud
249,Fraud,Fraud,Fraud,Fraud,Fraud
250,Fraud,Normal,Fraud,Fraud,Normal
251,Normal,Normal,Normal,Normal,Normal
252,Normal,Normal,Normal,Normal,Normal
253,Normal,Normal,Normal,Normal,Normal
254,Normal,Normal,Normal,Fraud,Normal
255,Fraud,Fraud,Fraud,Fraud,Fraud
256,Fraud,Fraud,Fraud,Fraud,Fraud
257,Fraud,Fraud,Fraud,Fraud,Fraud
258,Normal,Normal,Normal,Normal,Normal
259,Fraud,Normal,Fraud,Fraud,Normal
260,Normal,Normal,Normal,Normal,Normal
261,Fraud,Fraud,Fraud,Fraud,Fraud
262,Normal,Normal,Normal,Normal,Normal
263,Normal,Normal,Normal,Fraud,Normal
264,Fraud,Normal,Fraud,Fraud,Normal
265,Fraud,Fraud,Fraud,Fraud,Fraud
266,Fraud,Fraud,Fraud,Normal,Fraud
267,Fraud,Fraud,Fraud,Fraud,Fraud
268,Fraud,Fraud,Fraud,Fraud,Fraud
269,Normal,Normal,Normal,Normal,Normal
270,Normal,Normal,Normal,Normal,Normal
271,Fraud,Normal,Fraud,Fraud,Fraud
272,Fraud,Normal,Fraud,Fraud,Fraud
273,Normal,Normal,Normal,Normal,Normal
274,Normal,Normal,Normal,Fraud,Normal
275,Normal,Normal,Normal,Normal,Normal
276,Normal,Normal,Normal,Normal,Normal
277,Fraud,Fraud,Fraud,Fraud,Fraud
278,Fraud,Normal,Fraud,Fraud,Fraud
279,Normal,Normal,Normal,Normal,Fraud
280,Fraud,Normal,Fraud,Fraud,Fraud
281,Fraud,Normal,Fraud,Normal,Fraud
282,Normal,Normal,Normal,Normal,Normal
283,Fraud,Fraud,Fraud,Fraud,Fraud
284,Normal,Normal,Normal,Normal,Normal
285,Fraud,Normal,Fraud,Fraud,Fraud
286,Normal,Normal,Normal,Normal,Normal
287,Fraud,Fraud,Fraud,Fraud,Fraud
288,Normal,Normal,Normal,Normal,Normal
289,Fraud,Fraud,Fraud,Fraud,Fraud
290,Fraud,Fraud,Fraud,Fraud,Normal
291,Fraud,Normal,Fraud,Normal,Fraud
292,Normal,Normal,Normal,Normal,Normal
293,Fraud,Normal,Fraud,Fraud,Fraud
294,Normal,Normal,Normal,Normal,Normal
295,Normal,Normal,Normal,Normal,Normal
296,Fraud,Fraud,Fraud,Fraud,Fraud
297,Fraud,Fraud,Fraud,Fraud,Fraud
298,Fraud,Normal,Fraud,Fraud,Normal
299,Normal,Normal,Normal,Fraud,Normal
300,Fraud,Normal,Fraud,Fraud,Fraud
301,Fraud,Normal,Fraud,Fraud,Fraud
302,Fraud,Normal,Fraud,Fraud,Normal
303,Fraud,Normal,Fraud,Fraud,Fraud
304,Fraud,Fraud,Fraud,Fraud,Fraud
305,Normal,Normal,Normal,Fraud,Normal
306,Fraud,Fraud,Fraud,Fraud,Fraud
307,Normal,Normal,Normal,Normal,Normal
308,Fraud,Fraud,Fraud,Fraud,Fraud
309,Fraud,Fraud,Fraud,Fraud,Fraud
310,Fraud,Normal,Fraud,Fraud,Normal
311,Normal,Normal,Normal,Fraud,Normal
312,Fraud,Fraud,Fraud,Fraud,Fraud
313,Fraud,Fraud,Fraud,Fraud,Fraud
314,Normal,Normal,Normal,Normal,Normal
315,Fraud,Normal,Fraud,Fraud,Fraud
316,Fraud,Normal,Fraud,Fraud,Fraud
317,Normal,Normal,Normal,Fraud,Normal
318,Normal,Normal,Normal,Normal,Normal
319,Normal,Normal,Normal,Normal,Normal
320,Fraud,Fraud,Fraud,Fraud,Fraud
321,Normal,Normal,Normal,Normal,Normal
322,Normal,Normal,Fraud,Fraud,Normal
323,Normal,Normal,Normal,Normal,Normal
324,Fraud,Normal,Fraud,Fraud,Fraud
325,Fraud,Fraud,Fraud,Fraud,Fraud
326,Fraud,Fraud,Fraud,Fraud,Fraud
327,Normal,Normal,Normal,Normal,Normal
328,Normal,Normal,Normal,Normal,Normal
329,Fraud,Fraud,Fraud,Fraud,Fraud
330,Fraud,Fraud,Fraud,Fraud,Fraud
331,Fraud,Fraud,Fraud,Normal,Fraud
332,Fraud,Fraud,Fraud,Fraud,Fraud
333,Normal,Normal,Normal,Fraud,Fraud
334,Fraud,Fraud,Fraud,Fraud,Fraud
335,Fraud,Normal,Fraud,Fraud,Normal
336,Fraud,Fraud,Fraud,Fraud,Fraud
337,Fraud,Fraud,Fraud,Fraud,Fraud
338,Fraud,Fraud,Fraud,Fraud,Fraud
339,Normal,Normal,Normal,Normal,Normal
340,Fraud,Normal,Fraud,Fraud,Fraud
341,Normal,Normal,Normal,Normal,Normal
342,Normal,Normal,Normal,Normal,Normal
343,Fraud,Fraud,Fraud,Fraud,Fraud
344,Normal,Normal,Normal,Normal,Normal
345,Fraud,Normal,Fraud,Fraud,Fraud
346,Normal,Normal,Normal,Normal,Normal
347,Normal,Normal,Normal,Normal,Normal
348,Fraud,Fraud,Fraud,Fraud,Fraud
349,Normal,Normal,Normal,Normal,Normal
350,Fraud,Fraud,Fraud,Fraud,Fraud
351,Fraud,Fraud,Fraud,Fraud,Fraud
352,Normal,Normal,Normal,Normal,Normal
353,Normal,Normal,Normal,Normal,Normal
354,Fraud,Fraud,Fraud,Fraud,Fraud
355,Fraud,Normal,Fraud,Fraud,Fraud
356,Fraud,Fraud,Fraud,Fraud,Fraud
357,Fraud,Fraud,Fraud,Fraud,Fraud
358,Normal,Normal,Normal,Normal,Normal
359,Normal,Normal,Normal,Normal,Normal
360,Fraud,Fraud,Fraud,Fraud,Fraud
361,Normal,Normal,Normal,Normal,Normal
362,Fraud,Normal,Fraud,Fraud,Fraud
363,Fraud,Fraud,Fraud,Fraud,Fraud
364,Fraud,Normal,Fraud,Fraud,Fraud
365,Fraud,Fraud,Fraud,Fraud,Fraud
366,Normal,Normal,Normal,Normal,Normal
367,Fraud,Fraud,Fraud,Fraud,Fraud
368,Fraud,Fraud,Fraud,Fraud,Fraud
369,Fraud,Normal,Fraud,Fraud,Fraud
370,Normal,Normal,Normal,Normal,Normal
371,Fraud,Fraud,Fraud,Fraud,Fraud
372,Fraud,Fraud,Fraud,Fraud,Fraud
373,Fraud,Normal,Fraud,Fraud,Fraud
374,Fraud,Normal,Fraud,Fraud,Fraud
375,Fraud,Fraud,Fraud,Fraud,Fraud
376,Normal,Normal,Normal,Normal,Normal
377,Normal,Normal,Normal,Normal,Normal
378,Fraud,Fraud,Fraud,Fraud,Fraud
379,Fraud,Fraud,Fraud,Fraud,Fraud
380,Fraud,Normal,Fraud,Fraud,Fraud
381,Normal,Normal,Normal,Normal,Normal
382,Fraud,Fraud,Fraud,Fraud,Fraud
383,Normal,Normal,Normal,Normal,Normal
384,Normal,Normal,Normal,Normal,Normal
385,Fraud,Fraud,Fraud,Fraud,Fraud
386,Normal,Normal,Normal,Normal,Normal
387,Fraud,Fraud,Fraud,Fraud,Fraud
388,Normal,Normal,Normal,Normal,Normal
389,Fraud,Normal,Fraud,Fraud,Fraud
390,Fraud,Fraud,Fraud,Normal,Fraud
391,Fraud,Fraud,Fraud,Fraud,Fraud
392,Normal,Normal,Normal,Normal,Normal
393,Fraud,Normal,Fraud,Fraud,Fraud
394,Fraud,Normal,Fraud,Fraud,Fraud
395,Fraud,Normal,Fraud,Fraud,Fraud
396,Normal,Normal,Normal,Normal,Normal
397,Normal,Normal,Normal,Normal,Normal
398,Fraud,Normal,Fraud,Fraud,Fraud
399,Fraud,Normal,Fraud,Fraud,Fraud
400,Fraud,Fraud,Fraud,Fraud,Fraud
401,Normal,Normal,Normal,Normal,Normal
402,Fraud,Normal,Fraud,Normal,Normal
403,Normal,Normal,Normal,Normal,Fraud
404,Fraud,Fraud,Fraud,Fraud,Fraud
405,Normal,Normal,Normal,Fraud,Fraud
406,Fraud,Fraud,Fraud,Fraud,Fraud
407,Fraud,Fraud,Fraud,Fraud,Fraud
408,Normal,Normal,Normal,Normal,Normal
409,Fraud,Normal,Fraud,Fraud,Fraud
410,Normal,Normal,Normal,Fraud,Normal
411,Fraud,Fraud,Fraud,Fraud,Fraud
412,Fraud,Fraud,Fraud,Fraud,Fraud
413,Fraud,Normal,Fraud,Fraud,Fraud
414,Fraud,Fraud,Fraud,Fraud,Fraud
415,Normal,Normal,Normal,Normal,Normal
416,Normal,Normal,Fraud,Normal,Normal
417,Fraud,Fraud,Fraud,Fraud,Fraud
418,Fraud,Normal,Fraud,Fraud,Fraud
419,Normal,Normal,Normal,Normal,Fraud
420,Normal,Normal,Normal,Normal,Normal
421,Fraud,Fraud,Fraud,Fraud,Fraud
422,Fraud,Fraud,Fraud,Normal,Fraud
423,Fraud,Fraud,Fraud,Fraud,Fraud
424,Fraud,Normal,Fraud,Fraud,Normal
425,Fraud,Fraud,Fraud,Fraud,Fraud
426,Fraud,Fraud,Fraud,Fraud,Fraud
427,Fraud,Normal,Fraud,Fraud,Fraud
428,Fraud,Normal,Fraud,Fraud,Fraud
429,Fraud,Normal,Fraud,Fraud,Fraud
430,Normal,Normal,Normal,Normal,Normal
431,Fraud,Normal,Fraud,Fraud,Fraud
432,Fraud,Fraud,Fraud,Normal,Fraud
433,Normal,Normal,Normal,Normal,Normal
434,Normal,Normal,Normal,Normal,Normal
435,Normal,Normal,Normal,Normal,Normal
436,Normal,Normal,Normal,Normal,Normal
437,Fraud,Fraud,Fraud,Normal,Fraud
438,Fraud,Fraud,Fraud,Fraud,Fraud
439,Normal,Normal,Normal,Normal,Normal
440,Normal,Normal,Normal,Normal,Normal
441,Fraud,Normal,Fraud,Fraud,Fraud
442,Normal,Normal,Normal,Normal,Normal
443,Fraud,Normal,Fraud,Fraud,Fraud
444,Fraud,Fraud,Fraud,Fraud,Fraud
445,Fraud,Fraud,Fraud,Fraud,Fraud
446,Normal,Normal,Normal,Normal,Normal
447,Fraud,Fraud,Fraud,Fraud,Fraud
448,Fraud,Fraud,Fraud,Normal,Fraud
449,Fraud,Fraud,Fraud,Fraud,Fraud
450,Normal,Normal,Normal,Normal,Normal
451,Fraud,Normal,Fraud,Fraud,Fraud
452,Fraud,Fraud,Fraud,Fraud,Fraud
453,Normal,Normal,Normal,Normal,Normal
454,Normal,Normal,Normal,Normal,Normal
455,Normal,Normal,Normal,Fraud,Normal
456,Normal,Normal,Normal,Normal,Normal
