filename,true_label,confidence,predicted,correct,kb_top_type,kb_top_distance,n_web,mean_web_credibility,signals,reason
call_001_bank1_legitimate.txt,Normal,5,Normal,OK,tech_support,0.5782,0,0.000,The caller is asking the recipient to confirm their address and provide feedback on the mobile app in exchange for receiving a guide on how to enable ,"The caller's behavior and language do not match the typical patterns of tech support scams, as they are asking for feedback on a legitimate feature and providing options for enabling push notification"
call_002_bank1_legitimate.txt,Normal,5,Normal,OK,tech_support,0.6687,0,0.000,"The caller is asking the recipient to confirm her appointment and providing information about it, using the pressure tactic of implying that she needs","The caller's behavior and conversation do not match any known scam patterns or typical behaviors of scammers, and the tone is professional and helpful."
call_003_bank1_intermediate.txt,Normal,20,Normal,OK,bank_impersonation,0.3986,0,0.000,The caller is asking the recipient to confirm his identity by providing sensitive information (account number and date of birth) in order to verify a ,"The caller's request for the last six digits of the customer's Bank1 account number and date of birth, as well as their claim to be from ""Bank1 fraud protection"", are consistent with known bank impers"
call_004_bank1_fraudulent.txt,Fraud,95,Fraud,OK,bank_impersonation,0.4755,0,0.000,"The caller is asking the recipient to read out her full debit card number, including the sixteen digits, and using pressure tactics such as creating a","The caller's behavior matches known bank impersonation scams, including creating a sense of urgency to obtain sensitive information, using an unfamiliar phone number, and threatening account freezing "
call_005_bank1_fraudulent.txt,Fraud,95,Fraud,OK,tech_support,0.2581,0,0.000,The caller is asking the recipient to download a remote support tool and provide his online banking password in order to verify his identity and remov,"The caller's request for remote access via Bank1SecureConnect, insistence on payment (in the form of cooperation), and demand for sensitive information such as the online banking password are all cons"
call_006_bank2_legitimate.txt,Normal,5,Normal,OK,bank_impersonation,0.6336,0,0.000,"The caller is asking the recipient to participate in a satisfaction survey and provide feedback on their online banking services, using the pressure t","The caller's behavior is consistent with a legitimate bank survey, as they do not pressure the customer to take immediate action or ask for personal financial information."
call_007_bank2_legitimate.txt,Normal,5,Normal,OK,invoice_supplier,0.5101,0,0.000,The caller is asking the recipient to consider opening a fixed deposit account and is using the pressure tactic of offering a callback from a speciali,"The caller's behavior does not match any known scam patterns or red flags, and the conversation appears to be a genuine inquiry about fixed deposit rates."
call_008_bank2_intermediate.txt,Normal,5,Normal,OK,bank_impersonation,0.4683,0,0.000,The caller is asking the recipient to confirm sensitive personal information (account number and Social Security number) in order to resolve a transac,"The caller's request for the last four digits of the customer's Social Security number is a distinguishing signal of a bank impersonation scam, as legitimate banks would never request sensitive inform"
call_009_bank2_fraudulent.txt,Fraud,95,Fraud,OK,government_impersonation,0.3524,0,0.000,"The caller is asking the recipient to provide her full Social Security number and account number for a supposed federal investigation, using pressure ","The caller's behavior matches the typical patterns of government impersonation scams, including demanding sensitive information, threatening arrest and legal trouble if payment is not made, and using "
call_010_bank2_fraudulent.txt,Fraud,95,Fraud,OK,bank_impersonation,0.5732,0,0.000,The caller is asking the recipient to transfer his entire account balance to a protected holding account and uses pressure by stating that every minut,"The caller's request for the customer to transfer their entire balance to a protected holding account, as well as their urgent tone and demand for immediate action, are consistent with known bank impe"
call_011_bank3_legitimate.txt,Normal,5,Normal,OK,bank_impersonation,0.5879,0,0.000,The caller is asking the recipient to participate in a short survey about their experience with the Bank3 chatbot service and uses the pressure tactic,"The caller's behavior is consistent with a legitimate bank employee conducting a survey, as they ask specific questions about the customer's experience and provide opportunities for feedback to be pas"
call_012_bank3_legitimate.txt,Normal,0,Normal,OK,prize_lottery,0.6745,0,0.000,"The caller is asking the recipient to confirm an existing appointment and providing reminders about the details, using pressure by implying that the a","The caller's behavior is entirely consistent with a legitimate bank employee confirming an appointment, and there are no red flags or suspicious behaviors present."
call_013_bank3_intermediate.txt,Normal,5,Normal,OK,bank_impersonation,0.4786,0,0.000,The caller is asking the recipient to confirm his identity by providing personal information (account number and date of birth) in order to process an,"The caller's request for verification of the customer's account number and date of birth appears to be a standard security procedure, and the conversation does not exhibit any of the typical scam patt"
call_014_bank3_fraudulent.txt,Fraud,95,Fraud,OK,tech_support,0.5284,0,0.000,The caller is asking the recipient to download a removal utility from a website and is using pressure tactics by creating a sense of urgency and imply,"The caller's behavior matches typical tech support scam patterns, including claiming to detect a virus, demanding immediate installation of software, and using high-pressure tactics to gain access to "
call_015_bank3_fraudulent.txt,Fraud,95,Fraud,OK,bank_impersonation,0.3315,0,0.000,"The caller is asking the recipient to log into their online banking and transfer their full balance to a specified account, using pressure by threaten","The caller's behavior matches the typical patterns of bank impersonation scams, including claiming to be from a joint action between the bank and tax authority, requesting urgent action to transfer fu"
